127.0.0.1, 2016-04-07 19:18:42, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-07.19-18-40.7ea464b5-7203-4927-adc0-721eddda4ac3, HTTP/1.1, 200, 0.086807
127.0.0.1, 2016-04-07 19:18:59, GET, /projectify/default/index, HTTP/1.1, 500, 0.011535
127.0.0.1, 2016-04-07 19:19:02, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-07.19-18-59.b9832278-b7a1-4acc-8f5c-7fd479c343be, HTTP/1.1, 200, 0.060226
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/default/index, HTTP/1.1, 200, 0.504534
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000557
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000330
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000330
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000601
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.002118
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000715
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.002287
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000831
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000208
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000193
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/images/background.jpg, HTTP/1.1, 200, 0.000304
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000298
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000364
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000311
127.0.0.1, 2016-04-07 19:20:31, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001979
127.0.0.1, 2016-04-07 19:20:38, GET, /projectify/default/user/register, HTTP/1.1, 200, 0.024994
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/default/index, HTTP/1.1, 200, 0.028695
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000325
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001215
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000390
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000383
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000569
127.0.0.1, 2016-04-07 19:21:06, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000832
